STUDY,Treatment,Samples,compounds,mantel_c_e,mantel_c_s,mantel_e_s,AvgCHEMdist,AvgENZdist,RDA[AB] adj R2,RDA[bc],RDA[ABC],rda[a],rda[b],rda[c],mantel_informed,p_informed
22,BIOTIC,7,8,0.6443603,-0.07795378,-0.148641,0.4038205,0.3928571,0.01931,0.07444,0.06503,-0.00941,0.02872,0.04572,,
23,BIOTIC,5,8,0.8049457,0.2682997,0.3117749,3.87E-01,0.4041868,0.18238,0.22863,0.22043,-0.0082,0.19058,0.03805,,
25,BIOTIC,14,23,0.4389144,-0.1006107,0.1036526,0.3068077,0.217346,0.03818,0.00067,0.04055,0.03988,-0.00169,0.00236,,
25,BIOTIC,17,23,0.4389144,0.09479115,0.1184795,0.3068077,0.217346,0.04718,0.04995,0.06242,0.01247,0.0347,0.01524,,
25,BIOTIC,13,23,0.4389144,0.1039679,0.2073762,0.3068077,0.217346,0.09975,0.06728,0.11052,0.04325,0.0565,0.01078,,
26,BIOTIC,9,25,0.5276331,0.162337,0.2084373,0.2544643,0.2019415,0.07047,0.06236,0.08344,0.02108,0.04938,0.01297,,
26,BIOTIC,20,25,0.5276331,0.2129445,0.2798935,0.2544643,0.2019415,0.11407,0.09274,0.13118,0.03844,0.07563,0.01711,,
26,BIOTIC,10,25,0.5276331,0.3117375,0.2497584,0.2544643,0.2019415,0.08888,0.13938,0.14869,0.00931,0.07957,0.05981,,
27,BIOTIC,10,25,0.475356,0.03202514,0.2455016,0.2863905,0.2436771,0.09759,0.02681,0.09614,0.06933,0.02826,0.00144,,
27,BIOTIC,10,25,0.475356,0.1950197,0.2194132,0.2863905,0.2436771,0.08061,0.08841,0.10977,0.02135,0.05925,0.02916,,
27,BIOTIC,10,25,0.475356,0.2710588,0.5208144,0.2863905,0.2436771,0.31047,0.12495,0.31444,0.18949,0.12098,0.00397,,
